datetime,pickups,date,min_temp,max_temp,wind_speed,wind_gust,visibility,pressure,precipitation,snow_depth,fog,rain_drizzle,snow_ice,thunder
2009-01-01 00,47,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 01,74,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 02,79,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 03,57,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 04,46,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 05,18,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 06,16,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 07,7,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 08,10,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 09,10,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 10,29,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 11,37,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 12,54,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 13,68,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 14,68,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 15,52,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 16,34,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 17,56,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 18,51,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 19,52,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 20,36,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 21,38,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 22,24,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-01 23,24,2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,0.0,0,0,0,0
2009-01-02 00,16,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 01,9,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 02,6,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 03,2,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 04,5,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 05,6,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 06,31,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 07,40,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 08,36,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 09,40,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 10,38,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 11,36,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 12,55,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 13,76,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 14,77,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 15,51,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 16,54,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 17,83,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 18,96,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 19,85,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 20,84,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 21,63,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 22,74,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-02 23,72,2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,0.0,0,0,1,0
2009-01-03 00,52,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 01,26,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 02,16,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 03,13,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 04,13,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 05,12,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 06,9,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 07,14,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 08,15,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 09,34,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 10,35,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 11,43,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 12,56,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 13,58,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 14,64,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 15,62,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 16,40,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 17,64,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 18,58,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 19,68,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 20,91,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 21,87,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 22,52,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-03 23,83,2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,0.0,0,0,0,0
2009-01-04 00,59,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 01,34,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 02,17,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 03,14,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 04,10,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 05,10,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 06,8,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 07,6,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 08,11,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 09,27,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 10,37,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 11,50,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 12,50,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 13,64,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 14,54,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 15,46,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 16,60,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 17,51,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 18,45,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 19,35,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 20,44,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 21,24,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 22,27,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-04 23,20,2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,0.0,0,0,0,0
2009-01-05 00,20,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 01,4,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 02,12,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 03,4,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 04,11,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 05,7,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 06,42,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 07,98,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 08,97,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 09,68,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 10,39,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 11,53,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 12,57,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 13,52,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 14,52,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 15,55,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 16,73,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 17,99,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 18,131,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 19,132,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 20,120,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 21,62,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 22,55,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-05 23,39,2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,0.0,0,0,0,0
2009-01-06 00,24,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 01,16,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 02,9,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 03,2,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 04,11,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 05,8,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 06,49,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 07,90,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 08,116,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 09,95,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 10,47,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 11,39,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 12,66,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 13,59,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 14,70,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 15,70,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 16,58,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 17,113,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 18,111,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 19,154,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 20,114,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 21,79,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 22,68,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-06 23,50,2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,0.0,0,0,0,0
2009-01-07 00,26,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 01,17,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 02,7,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 03,2,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 04,9,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 05,7,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 06,76,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 07,114,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 08,161,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 09,139,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 10,24,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 11,27,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 12,21,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 13,37,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 14,46,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 15,32,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 16,66,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 17,76,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 18,112,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 19,128,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 20,164,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 21,104,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 22,69,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-07 23,54,2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,0.0,0,1,1,0
2009-01-08 00,37,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 01,21,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 02,4,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 03,7,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 04,6,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 05,13,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 06,65,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 07,91,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 08,114,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 09,92,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 10,69,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 11,63,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 12,98,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 13,86,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 14,87,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 15,73,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 16,83,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
2009-01-08 17,118,2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,0.0,0,1,0,0
